"COMIDv2_JR","lat","lon","samp_year","STATE_AB","obs_spec","HU4_ZoneID","HU8_ZoneID","HU12_ZoneID","exp_rich","StreamOrde","order_class","samp_length","width.x","width.y","width","area"
13039000,43.58344179,-84.9011299,2005,"MI",21,"HU4_40","HU8_197","HU12_12740",22.995,4,"MID",457.2,19.812,NA,19.812,0.0090580464
13045511,44.18385322,-84.28024263,2004,"MI",18,"HU4_40","HU8_208","HU12_12752",18.665,3,"MID",304.8,6.01675,NA,6.01675,0.0018339054
13048217,43.62138829,-84.25846312,2004,"MI",13,"HU4_40","HU8_208","HU12_12770",15.984,6,"RIVER",1174.6992,60.5729,NA,60.5729,0.07115493717168
13048943,43.3933022,-84.00939098,2005,"MI",16,"HU4_40","HU8_208","HU12_12773",17.985,6,"RIVER",1514.856,NA,99.94,99.94,0.15139470864
13057812,44.65713397,-85.4377232,2003,"MI",3,"HU4_30","HU8_204","HU12_13638",3,4,"MID",335.28,13.1826,NA,13.1826,0.004419862128
13173555,42.57666965,-83.57426463,2004,"MI",8,"HU4_39","HU8_199","HU12_12501",10.972,4,"MID",304.8,6.096,NA,6.096,0.0018580608
13175069,42.45102939,-83.83053277,2004,"MI",15,"HU4_39","HU8_199","HU12_12519",19.471,5,"MID",304.8,18.288,NA,18.288,0.0055741824
13183098,42.59244019,-82.8449252,2005,"MI",19,"HU4_39","HU8_219","HU12_19907",21.482,6,"RIVER",1560.576,NA,44.82,44.82,0.06994501632
13194508,43.01439835,-82.46585912,2005,"MI",14,"HU4_39","HU8_218","HU12_14904",18.446,5,"MID",1542.288,NA,69.04,69.04,0.10647956352
13204443,43.39312646,-83.96466396,2005,"MI",17,"HU4_40","HU8_217","HU12_12828",21.143,7,"RIVER",1667.256,NA,125.97,125.97,0.21002423832
904030493,46.18376416,-88.7863624,2004,"MI",8,"HU4_32","HU8_160","HU12_12903",8.994,3,"MID",304.8,14.6243,NA,14.6243,0.00445748664
14443726,46.08660001,-88.63747855,2006,"MI",5,"HU4_32","HU8_160","HU12_12912",5.249,3,"MID",304.8,NA,5.94,5.94,0.001810512
15661330,41.95712441,-84.3422701,2004,"MI",23,"HU4_41","HU8_201","HU12_6687",24.497,3,"MID",243.84,NA,5.67,5.67,0.0013825728
15661466,41.81580756,-84.33225083,2004,"MI",21,"HU4_41","HU8_201","HU12_6690",25.155,4,"MID",243.84,10.3022,NA,10.3022,0.002512088448
1798735,46.56296608,-91.02133136,2001,"WI",5,"HU4_28","HU8_134","HU12_11374",5,4,"MID",NA,NA,14.15,14.15,NA
1804897,46.48502897,-92.2282016,2004,"WI",5,"HU4_28","HU8_134","HU12_11336",5.497,1,"HW",127,3.56,NA,3.56,0.00045212
1804837,46.49677318,-92.26914654,2004,"WI",12,"HU4_28","HU8_134","HU12_11336",19.942,2,"HW",185,4.46,NA,4.46,0.0008251
