"COMIDv2_JR","LAT_DD","LON_DD","samp_year","samp_length","width","common_name","scientific_name","ind_count","STATE","SPP_CODE_new","obs_spec","slope","exp_rich","shannon","HU4_ZoneID","HUC4","HU8_ZoneID","HU12_ZoneID","StreamOrde","LENGTHKM","CLASS"
2113796,44.5808633,-91.27667417,2001,52,NA,"fathead minnow","Pimephales promelas",4,"WI","FATHEAD_MINNOW",10,0.002,10,5.819,"HU4_55","0704","HU8_375","HU12_10291",2,1.056,"HW_stream"
2113796,44.5808633,-91.27667417,2001,52,NA,"blacknose dace","Rhinichthys atratulus",12,"WI","BLACKNOSE_DACE",10,0.002,10,5.819,"HU4_55","0704","HU8_375","HU12_10291",2,1.056,"HW_stream"
2113796,44.5808633,-91.27667417,2001,52,NA,"brook trout","Salvelinus fontinalis",22,"WI","BROOK_TROUT",10,0.002,10,5.819,"HU4_55","0704","HU8_375","HU12_10291",2,1.056,"HW_stream"
2113796,44.5808633,-91.27667417,2001,52,NA,"central mudminnow","Umbra limi",4,"WI","CENTRAL_MUDMINNOW",10,0.002,10,5.819,"HU4_55","0704","HU8_375","HU12_10291",2,1.056,"HW_stream"
2113798,44.58436331,-91.44736241,2001,48,NA,"brook stickleback","Culaea inconstans",28,"WI","BROOK_STICKLEBACK",6,0,6,4.843,"HU4_55","0704","HU8_375","HU12_10292",2,3.232,"HW_stream"
2113798,44.58436331,-91.44736241,2001,48,NA,"johnny darter","Etheostoma nigrum",24,"WI","JOHNNY_DARTER",6,0,6,4.843,"HU4_55","0704","HU8_375","HU12_10292",2,3.232,"HW_stream"
2113798,44.58436331,-91.44736241,2001,48,NA,"blacknose dace","Rhinichthys atratulus",26,"WI","BLACKNOSE_DACE",6,0,6,4.843,"HU4_55","0704","HU8_375","HU12_10292",2,3.232,"HW_stream"
2113798,44.58436331,-91.44736241,2001,48,NA,"rainbow trout","Oncorhynchus mykiss",6,"WI","RAINBOW_TROUT",6,0,6,4.843,"HU4_55","0704","HU8_375","HU12_10292",2,3.232,"HW_stream"
2113798,44.58436331,-91.44736241,2001,48,NA,"brown trout","Salmo trutta",6,"WI","BROWN_TROUT",6,0,6,4.843,"HU4_55","0704","HU8_375","HU12_10292",2,3.232,"HW_stream"
2113798,44.58436331,-91.44736241,2001,48,NA,"brook trout","Salvelinus fontinalis",4,"WI","BROOK_TROUT",6,0,6,4.843,"HU4_55","0704","HU8_375","HU12_10292",2,3.232,"HW_stream"
2114036,44.55793191,-91.45187081,2003,108,3,"white sucker","Catostomus commersonii",13,"WI","WHITE_SUCKER",6,0,6,6.009,"HU4_55","0704","HU8_375","HU12_10293",2,2.856,"HW_stream"
2114036,44.55793191,-91.45187081,2003,108,3,"brook stickleback","Culaea inconstans",5,"WI","BROOK_STICKLEBACK",6,0,6,6.009,"HU4_55","0704","HU8_375","HU12_10293",2,2.856,"HW_stream"
2114036,44.55793191,-91.45187081,2003,108,3,"johnny darter","Etheostoma nigrum",7,"WI","JOHNNY_DARTER",6,0,6,6.009,"HU4_55","0704","HU8_375","HU12_10293",2,2.856,"HW_stream"
2114036,44.55793191,-91.45187081,2003,108,3,"fathead minnow","Pimephales promelas",10,"WI","FATHEAD_MINNOW",6,0,6,6.009,"HU4_55","0704","HU8_375","HU12_10293",2,2.856,"HW_stream"
2114036,44.55793191,-91.45187081,2003,108,3,"brook trout","Salvelinus fontinalis",11,"WI","BROOK_TROUT",6,0,6,6.009,"HU4_55","0704","HU8_375","HU12_10293",2,2.856,"HW_stream"
2114036,44.55793191,-91.45187081,2003,108,3,"creek chub","Semotilus atromaculatus",11,"WI","CREEK_CHUB",6,0,6,6.009,"HU4_55","0704","HU8_375","HU12_10293",2,2.856,"HW_stream"
2113978,44.56634532,-91.55675436,2001,44,NA,"white sucker","Catostomus commersonii",4,"WI","WHITE_SUCKER",9,0.001,9,5.446,"HU4_55","0704","HU8_375","HU12_10296",2,1.818,"HW_stream"
2113978,44.56634532,-91.55675436,2001,44,NA,"brook stickleback","Culaea inconstans",12,"WI","BROOK_STICKLEBACK",9,0.001,9,5.446,"HU4_55","0704","HU8_375","HU12_10296",2,1.818,"HW_stream"
2113978,44.56634532,-91.55675436,2001,44,NA,"johnny darter","Etheostoma nigrum",30,"WI","JOHNNY_DARTER",9,0.001,9,5.446,"HU4_55","0704","HU8_375","HU12_10296",2,1.818,"HW_stream"
2113978,44.56634532,-91.55675436,2001,44,NA,"American brook Lamprey","Lethenteron appendix",4,"WI","AMERICAN_BROOK_LAMPREY",9,0.001,9,5.446,"HU4_55","0704","HU8_375","HU12_10296",2,1.818,"HW_stream"
2113978,44.56634532,-91.55675436,2001,44,NA,"blacknose dace","Rhinichthys atratulus",98,"WI","BLACKNOSE_DACE",9,0.001,9,5.446,"HU4_55","0704","HU8_375","HU12_10296",2,1.818,"HW_stream"
2113978,44.56634532,-91.55675436,2001,44,NA,"longnose dace","Rhinichthys cataractae",70,"WI","LONGNOSE_DACE",9,0.001,9,5.446,"HU4_55","0704","HU8_375","HU12_10296",2,1.818,"HW_stream"
