"SITE_ID","SPP_CODE","TOTAL_COUNT","OBSERVED_RICH","EXPECTED_RICH","AREA_sqkm","CONN_CLASS","STATE","TYPE"
"13032075","SPOTFIN_SHINER",86,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","NORTHERN_PIKE",1,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","RAINBOW_DARTER",3,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","JOHNNY_DARTER",4,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","NORTHERN_HOG_SUCKER",15,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","GREEN_SUNFISH",1,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","BLUEGILL",8,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","LONGEAR_SUNFISH",2,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","SMALLMOUTH_BASS",13,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","GOLDEN_REDHORSE",41,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","HORNYHEAD_CHUB",2,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","SAND_SHINER",29,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","STONECAT",4,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","BLACKSIDE_DARTER",1,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","BLUNTNOSE_MINNOW",16,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","BLACK_CRAPPIE",1,21,29.969,0.14126174,"MID_stream","MI","stream"
"13032075","CREEK_CHUB",3,21,29.969,0.14126174,"MID_stream","MI","stream"
"13019901","CENTRAL_STONEROLLER",25,16,16,0.007353,"HW_stream","MI","stream"
"13019901","WHITE_SUCKER",3,16,16,0.007353,"HW_stream","MI","stream"
"13019901","RAINBOW_DARTER",21,16,16,0.007353,"HW_stream","MI","stream"
"13019901","FANTAIL_DARTER",4,16,16,0.007353,"HW_stream","MI","stream"
"13019901","JOHNNY_DARTER",4,16,16,0.007353,"HW_stream","MI","stream"
"13019901","GREEN_SUNFISH",8,16,16,0.007353,"HW_stream","MI","stream"
"13019901","PUMPKINSEED",4,16,16,0.007353,"HW_stream","MI","stream"
"13019901","BLUEGILL",15,16,16,0.007353,"HW_stream","MI","stream"
"13019901","COMMON_SHINER",16,16,16,0.007353,"HW_stream","MI","stream"
"13019901","LARGEMOUTH_BASS",3,16,16,0.007353,"HW_stream","MI","stream"
"13019901","HORNYHEAD_CHUB",23,16,16,0.007353,"HW_stream","MI","stream"
"13019901","STONECAT",2,16,16,0.007353,"HW_stream","MI","stream"
"13019901","BLUNTNOSE_MINNOW",7,16,16,0.007353,"HW_stream","MI","stream"
"13019901","BLACKNOSE_DACE",8,16,16,0.007353,"HW_stream","MI","stream"
"13019901","CREEK_CHUB",22,16,16,0.007353,"HW_stream","MI","stream"
"13019901","CENTRAL_MUDMINNOW",2,16,16,0.007353,"HW_stream","MI","stream"
