"COMIDv2_JR","exp_rich","shannon"
2733384,3,3.014
2733404,2,2.07
2733406,6,3.675
2733456,3,2.087
2733466,4,3.669
2733578,9,4.419
2733748,3,1.505
2733758,5,4.515
2733798,11.498,6.737
3318260,3,2.606
3318304,4,3.802
3318666,2,1.642
3318684,7.987,3.489
3318708,3,1.972
3318924,5,4.695
3319010,3,2.179
3319014,5,3.036
3319584,4,3.054
3319614,4,3.727
3319620,2,1.966
3319636,2,1.966
3319654,3,2.84
3319670,4.483,2.158
3320142,5,5.007
3320216,8.994,3.24
3320362,5,3.943
3320420,4,3.23
3320518,5,4.778
3320604,5.241,3.72
3320662,4,2.659
3320694,5.488,3.138
3320742,7.986,3.031
3321192,4.496,1.509
3322526,20.159,2.556
3323068,2,2.072
3323072,2,1.973
3323088,4,3.36
3323146,6,4.371
3323176,5,3.634
3323202,5,4.241
3323274,6,2.956
3323280,5,3.229
3323308,3,2.628
3323312,4,3.29
3323318,2,2.108
3323320,5,4.247
3323324,3,3.257
3323328,2,2.072
3323330,2,1.839
3323332,2,2.007
3323356,2,1.89
3323468,3,2.551
3323470,4,2.531
3323502,2,1.245
3325392,13.994,7.648
3472663,3,1.972
3473333,12.444,4.214
4287139,9,4.553
4287383,3,2.174
4287419,3,1.888
4287817,8,3.769
4288203,3,2.301
4288207,2,2.021
4288229,2,1.135
4288247,2,1.426
4288261,6.963,2.179
4288291,2,1.991
4288293,2,1.953
4288323,2,1.875
4289195,2,1.913
4290353,3,2.892
4290417,2,1.713
4592097,4.986,1.737
4592111,2,1.992
4592121,7,4.626
4592133,5,3.272
4592259,2,2.058
4592271,5,5.085
4592273,4.479,2.772
4592275,2,1.913
4592285,2,2.013
4592333,4,3.46
4592809,2,1.931
4592853,4,3.351
4592921,2,1.98
4593003,4,3.143
4593059,5,4.543
4593073,3,1.369
4593081,2,1.422
4593955,2,1.85
4593987,2,1.982
4594035,15,5.722
4594041,10,3.68
4594051,14,4.692
4594055,6,2.92
4594065,2,2.075
4594085,6,2.32
4594117,4,2.89
4594133,10,7.478
4594321,2,1.561
4594441,6,3.557
4594455,5.495,3.099
4594479,2,1.796
4594599,9.994,5.261
4595083,13.998,5.951
4994631,19.247,8.554
4997563,12.998,5.147
5000017,29.468,8.258
5000141,12.997,6.261
5123134,14.992,3.721
5137525,12,4.74
5137557,9,2.235
5194752,2,1.858
5194868,3,2.091
5194874,7,4.812
5194882,5,4.706
5194902,6.245,3.969
5194912,5,2.61
5195600,6,5.729
5195634,5.484,3.286
5195772,3,2.982
5195800,5.491,3.02
5196336,5,4.31
5196420,4.486,2.822
5196476,2,2.189
5197640,2,1.398
5197642,4.483,2.426
5197664,3,2.681
5199584,3,2.563
5202956,4,2.173
5203078,5,3.281
5203190,2,1.399
5203252,4,2.798
5203324,3,2.253
5203332,2,1.459
5203366,3,2.189
5203646,3,2.712
5203654,9.973,4.115
5203746,6,3.619
5204784,2,1.236
5799192,17.998,6.378
5844496,4,2.421
5844760,5,3.522
5844786,6,4.562
5844816,4.483,2.539
5844866,3,2.571
5844870,4,3.665
5844904,3,3.306
5844914,3,2.398
5844936,4,2.946
5844942,2,1.135
5844986,6.995,3.804
5845044,3,2.545
5845084,2,1.916
5845092,3,2.71
5845102,3,1.956
5845154,4,2.552
5845192,3,2.731
5845214,6,5.216
5845300,6.497,1.953
5845376,6,5.168
5845462,2,1.18
5845466,4,3.981
5845478,3,2.064
5845488,2,2.022
5845524,2,1.339
5845542,4,3.476
5845544,3,3.029
5847488,2,1.398
5847546,3,2.803
5847556,6,4.436
5847568,5,4.676
5847570,4,3.465
5847578,3,2.979
5847786,5,5.237
5847792,3,2.84
5847796,2,1.245
5847816,3,3.149
5847828,3,2.212
5847852,4,2.828
5847876,2,2.028
5847938,5,3.349
5847968,8.964,2.129
5847994,3,1.803
5848008,6.985,2.949
5848028,5.981,3.238
5848030,2,1.235
5848038,7,4.816
5848056,2,1.301
5848066,12.995,4.002
5848074,10.248,5.912
5848076,5,3.775
5848082,2,1.857
5848094,7.497,4.187
5848106,5,3.537
5848150,5,2.534
5848152,2,1.301
5848170,7,6.392
5848190,5,2.102
5848380,8,6.422
5848408,2,1.483
5848410,4,3.229
5848442,5.981,2.945
5848666,12,3.746
5848806,2,1.596
6075243,6,5.49
6076009,6.983,2.235
6559843,11.244,10.901
6566287,17.999,6.699
6566481,10.496,6.329
6571986,25.997,12.708
6587037,6,4.228
6590806,8.248,5.458
6591394,24.595,10.103
6591628,28.992,7.086
6594222,11.499,6.614
6594330,12.249,5.383
6598028,12.166,4.419
6602952,18.398,8.849
6603000,22.987,9.544
6607532,19.998,7.059
6608042,23.144,8.726
6621610,4,2.542
6709575,4,3.928
6709953,3,2.38
6709973,2,1.688
6712133,2,1.508
6712643,17.497,7.1
6713151,7,5.778
6713167,8.499,4.902
6713169,4.481,2.699
6713175,8,6.105
6713183,6,3.312
6713185,3,3.008
6713191,2,1.629
6713193,3,2.485
6718953,2,1.214
6719007,2,1.307
6719079,2,1.353
6720409,2,1.344
6720443,3,2.227
6720511,11.431,3.367
6720541,7.979,4.29
6721665,3,2.426
6721687,3,2.545
6721697,2,1.709
6721707,2,1.775
6721751,4,3.406
6721775,3,3.257
6721983,4.484,2.59
6729535,2,1.936
6729545,2,1.252
6730269,4,3.471
6730347,2,1.915
6730423,2,1.329
6730427,4,2.13
6730431,4,2.978
6730445,4,1.902
6730483,2,1.579
6730491,2,1.98
6730495,3,2.855
6730497,2,1.173
6730515,5,2.655
6730525,6,3.336
6730581,4.98,2.084
6730607,2,1.814
6730627,4,1.859
6730639,2,1.673
6730661,5.247,2.599
6730717,5.496,2.934
6731143,8.985,5.359
6731171,2,1.255
6731195,6,5.279
6731225,8,4.723
6732797,6,3.683
6732815,2,1.191
6738316,2,1.507
6738352,3,3.107
6738356,2,1.799
6738404,2,1.626
6738406,6,2.787
6738480,8.992,3.937
6738490,7.984,5.325
6738498,2,1.363
6738500,3,1.366
6738504,2,1.98
6738510,3,2.695
6738524,7,5.852
6738534,7.49,5.739
6738544,3,2.802
6738554,3,2.072
6738638,3,1.618
6738642,3,1.903
6738646,3,1.435
6738648,4,3.222
6739592,3,2.213
6739616,4,3.367
6739618,2,1.743
6739628,4,2.315
6739640,2,1.467
6739962,6.989,3.982
6740076,4.98,1.597
6740124,7,4.842
6740172,2,1.1
6740244,7.987,4.587
6740346,8,5.888
6740352,8,4.098
6740408,8.495,6.574
6740502,5.244,3.17
6740852,4,3.484
6740894,4,4.121
6740932,4.493,1.61
6741316,3,2.595
6741360,5.489,3.557
6742014,14,6.594
6743834,8,8.043
6744016,2,1.775
6744130,19.976,5.294
6744224,12.98,7.612
6744606,8,4.338
6744642,11.975,4.913
6745882,9.995,5.348
6745932,4,3.091
6760814,6.496,3.001
6760818,5,3.429
6761114,2,1.324
6761198,2,1.932
6761680,5,4.363
6761710,7.99,3.095
6761758,6.977,4.244
6761938,15.997,6.502
6762724,9.98,6.104
6762728,3,1.923
6762736,4,2.992
6762742,2,1.658
6762746,3,2.694
6762758,6,2.803
6763976,5,4.842
6764058,13.465,5.337
6778017,2,1.09
6778159,3,2.208
6778409,3,2.295
6778485,6,2.675
6790993,12.998,5.961
6800198,13,2.627
6801368,18.479,9.562
6801492,16.993,11.732
6801616,17.459,9.084
6801640,11.979,6.762
6801644,9,4.491
6801742,13.983,5.485
6801790,25.659,13.655
6802062,18,9.602
6802166,6,4.762
6802820,12.499,7.511
6802898,9,2.826
6802904,16,5.924
6809830,10.981,3.136
6809940,3,2.931
6811454,15,4.939
6818570,24.492,7.517
6818620,19.246,6.942
6821048,22,9.245
6843185,11,7.041
6843465,2,1.566
6843471,7,5.134
6843643,2,2.066
6844011,9.998,5.016
6844069,14,7.959
6844099,12,7.358
6848543,20.234,13.441
6859774,16.249,11.341
6865643,5,2.997
6866155,10,3.496
6866905,7,1.361
6866923,12.498,6.11
6867903,4,3.59
6867951,5,1.546
6964377,21.25,7.294
6965099,9,5.524
6965591,21.944,8.451
6978978,22.997,13.686
6981126,27.245,6.512
6995957,15.662,8.135
7003622,18.499,7.009
7226706,8,2.45
7310517,10,4.779
8990078,7.498,2.986
8990202,17.247,5.117
8990450,15.246,5.546
8991580,5,2.482
8991886,22.227,7.153
9005817,10.499,2.753
9008227,21.942,5.16
9008349,15.995,10.7
9027871,21.997,11.509
9029397,14.494,2.31
9033203,4,2.133
9033213,3,2.306
9033233,9,6.524
9033245,4,2.135
9033253,5.998,2.751
9033255,6,4.199
9034279,28.239,10.58
9034397,8.992,3.978
9036329,12.25,6.295
9036357,26.992,8.127
9036361,4,1.141
9036365,16,8.354
9036367,12.995,5.462
9036373,5,3.477
9036395,23.98,11.423
9036403,10.989,6.927
9036541,4,2.237
9036719,2,1.995
9036723,10,7.215
9036725,6,4.233
9310977,4,3.773
9310981,4,3.623
9310983,6.483,4.797
9311007,4,3.864
9311165,2,1.255
9311167,10.971,4.259
9311169,3,1.51
9311601,5,4.486
9311609,2,1.777
9312523,2,2.137
9312531,2,1.917
9312537,2,2.072
9312567,4.489,2.647
9312569,3,2.54
9312603,3,2.271
9312613,4,1.693
9312615,2,1.236
9312629,2,1.737
9312635,3,2.064
9312639,3.98,1.262
9312673,2,1.913
9312677,4,3.322
9312679,3,1.601
9312685,2,1.122
9312697,3,2.608
9312699,3,2.586
9312739,2,1.566
9312763,4,3.404
9312771,2,1.489
9312785,3,2.499
9312811,4,4.157
9312813,3,1.99
9312821,6,5.044
9312827,3,2.735
9312867,10.979,6.534
9312871,5,3.884
9312873,2,1.97
9312877,8.494,4.782
9312919,6,4.757
9312943,11.95,6.659
9312947,9.247,4.603
9312949,16.468,7.163
9312985,6,2.546
9313013,2,1.741
9313025,3,2.491
9313039,2,2.021
9313047,7,4.289
9313077,9.992,4.67
9313091,8.957,4.97
9313095,3,1.578
9313097,6,2.752
9313115,3,1.34
9313147,8.974,4.207
9313157,2,1.748
9313205,2,1.49
9313263,3,3.09
9313265,8.971,4.689
9313269,7,3.686
9313293,4,3.051
9313321,2,1.191
9313351,7.245,5.317
9313353,3,2.458
9313361,6,4.611
9313369,8.981,4.478
9313425,6,5.523
9313451,5.488,2.993
9313483,5,2.804
9313487,4,3.603
9313511,6,4.03
9313515,3,3.178
9313563,6.479,5.683
9313573,6.242,4.518
9313575,2,1.817
9313581,3,2.853
9313637,2,1.602
9313639,8.991,3.092
9313653,5.976,3.174
9313661,7.493,4.901
9313695,6,4.187
